School Year,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Borough Name,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
2014-15,Q193,25Q193,P.S. 193 Alfred J. Kennedy,Q193,152-20 11 AVENUE,Q,25,534,,1,P.S. 193 Alfred J. Kennedy,0,0,0,0,0,4C,501-750,0.31,1.12,1.82,0.79,0.51,QUEENS   ,11357,40.792483,-73.809741,7,19,987,4103056,4045380001,Whitestone                                                                 
2014-15,Q194,25Q194,J.H.S. 194 William Carr,Q194,154-60 17 AVENUE,Q,25,1079,,1,J.H.S. 194 William Carr,1,2,0,1,1,6C,1001-1250,0.48,2.19,3.69,1.29,1,QUEENS   ,11357,40.78365,-73.807838,7,19,1029,4107342,4047290001,Whitestone                                                                 
2014-15,Q195,29Q195,P.S. 195 William Haberle,Q195,253-50 149 AVENUE,Q,29,656,,1,P.S. 195 William Haberle,1,1,0,2,0,4C,501-750,0.31,1.12,1.82,0.79,0.51,QUEENS   ,11422,40.653006,-73.736395,13,31,664,4290116,4136550001,Rosedale                                                                   
2014-15,Q196,28Q196,P.S. 196 Grand Central Parkway,Q196,71-25 113 STREET,Q,28,799,,1,P.S. 196 Grand Central Parkway,0,0,1,0,0,5C,751-1000,0.46,1.65,2.77,1.17,0.75,QUEENS   ,11375,40.722782,-73.837946,6,29,75702,4052713,4022480100,Forest Hills                                                               
2014-15,Q197,27Q197,P.S. 197 The Ocean School,Q197,825 HICKSVILLE ROAD,Q,27,548,,1,P.S. 197 The Ocean School,1,0,1,1,0,4C,501-750,0.31,1.12,1.82,0.79,0.51,QUEENS   ,11691,40.600199,-73.743968,14,31,101002,4298856,4155970001,Far Rockaway-Bayswater                                                     
2014-15,Q198,27Q333,Goldie Maple Academy,Q333,3-65 BEACH 56 STREET,Q,27,534,,1,Goldie Maple Academy,1,1,0,0,1,4C,501-750,0.31,1.12,1.82,0.79,0.51,QUEENS   ,11692,40.593967,-73.786182,14,31,97204,4301929,4158940011,Hammels-Arverne-Edgemere                                                   
2014-15,Q199,24Q199,P.S. 199 Maurice A. Fitzgerald,Q199,39-20 48 AVENUE,Q,24,1068,,1,P.S. 199 Maurice A. Fitzgerald,0,0,0,0,0,6C,1001-1250,0.48,2.19,3.69,1.29,1,QUEENS   ,11104,40.740088,-73.926214,2,26,189,4002915,4002060003,Hunters Point-Sunnyside-West Maspeth                                       
2014-15,Q200,25Q200,PS/MS 200 - The Pomonok School & STAR Academy,Q200,70-10 164 STREET,Q,25,472,,1,PS/MS 200 - The Pomonok School & STAR Academy,0,0,0,0,0,3C,251-500,0.27,1.11,1.38,0.8,0.48,QUEENS   ,11365,40.731369,-73.805116,8,24,122701,4146990,4067890001,Pomonok-Flushing Heights-Hillcrest                                         
2014-15,Q201,25Q201,P.S. 201 The Discovery School for Inquiry and Rese,Q201,65-11 155 STREET,Q,25,500,,1,P.S. 201 The Discovery School for Inquiry and Rese,0,0,0,0,0,3C,251-500,0.27,1.11,1.38,0.8,0.48,QUEENS   ,11367,40.736653,-73.813346,8,24,122702,4146992,4067920100,Pomonok-Flushing Heights-Hillcrest                                         
2014-15,Q202,27Q202,J.H.S. 202 Robert H. Goddard,Q202,138-30 LAFAYETTE STREET,Q,27,1057,138-30 LAFAYETTE STREET CONSOLIDATED LOCATION,2,J.H.S. 202 Robert H. Goddard |  Robert H. Goddard High School of Communication Art |  138-30 LAFAYETTE STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,6C,1001-1250,N/A,N/A,N/A,N/A,N/A,QUEENS   ,11417,40.67124,-73.845141,10,32,58,4245993,4114030001,Ozone Park                                                                 
